job title,post date,company name,location,job skills,links,responsibilities
.Net Web Developer,3 days ago,Walan Technology -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C# · Back End · SQL · ASP.Net · Web Development · .Net · CSS · HTML,https://wuzzuf.net/jobs/p/yhcWeqtvV0hC-Net-Web-Developer-Walan-Technology-Cairo-Egypt?o=1&l=sp&t=sj&a=web developer|search-v3|hpb,"Asp.Net, C# , SQL Server ( Back end) . | jQuery, HTML 5, JS, CSS, bootstrap  (Front end). | Experience Asp.Net web forms is must . | Using DevExpress tools | Crystal Report, Extra report for print report | Good knowledge about ERP | Using  API ,JSON and  token | Cryptographic stamp,   hash "
Dot Net Web Developer,4 days ago,Tidal -,"Cairo, Egypt ",Full TimeShift BasedExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Development · Software Development · Computer Science · Information Technology (IT) · Program Development · ERP Applications · APIs,https://wuzzuf.net/jobs/p/wRUWDZmpmuOw-Dot-Net-Web-Developer-Tidal-Cairo-Egypt?o=2&l=sp&t=sj&a=web developer|search-v3|hpb,"Bachelor Degree in Computer Sciences, Software Engineering | Proficiency in the database (MS SQl-MongoDB) | JavaScript (any library / framework)Proficiency in REST-based APIs. | Good analytical skills | MUST be Experienced With git | Experience with ERP Applications Development is a plus. | Bachelor’s Degree in Computer Science or IT related fields | Experience working with DevExpress and Entity Framework. | Advanced with modern web technologies such as Bootstrap, | Strong knowledge of JavaScript and experience with third-party JavaScript libraries such as jQuery, Knockout, Angular, etc. | scratch | Experience solving scalability problems and understanding how to optimize code/APIs to handle an increase in users. | TDD, Unit, and integration testing experience | Excellent verbal and written communication skills | Proficient with agile/scrum development methodology | Excellent communication (written and verbal), analytical and interpersonal skills | Fluency in Arabic & English languages "
Senior Web Developer (E-commerce Experience),1 day ago,Corporate Stack Solutions  -,"New Cairo, Cairo, Egypt ",Full TimeManager · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CSS · E-Commerce · jQuery · Web Development · Object Oriented · AJAX · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/oQe3PifgsI8D-Senior-Web-Developer-E-commerce-Experience-Corporate-Stack-Solutions-Cairo-Egypt?o=3&l=sp&t=sj&a=web developer|search-v3|hpb,"Candidates MUST have a minimum of 6 years of experience in the following | WordPress | HTMS, CSS, Style sheet | MySQL | PHP | Magento skinning and module development "
web developer,3 days ago,momyazon -,"New Cairo, Cairo, Egypt ",Freelance / ProjectExperienced · IT/Software Development · developer · Web · Computer Science · web developer,https://wuzzuf.net/jobs/p/xoUOegRJpAbx-web-developer-momyazon-Cairo-Egypt?o=4&l=sp&t=sj&a=web developer|search-v3|hpb, 
Backend Web Developer,2 days ago,Alpha IT Enterprise -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · MySQL · JavaScript · PostgresSQL · RestAPI · Web Development · Continues Integration (CI) · Continuous Delivery (CD),https://wuzzuf.net/jobs/p/GfrikiKESROa-Backend-Web-Developer-Alpha-IT-Enterprise-Cairo-Egypt?o=5&l=sp&t=sj&a=web developer|search-v3|hpb,"2-3 years’ experience of Laravel framework | Experience in version control and continuous testing, integration and deployment | Experience in MySQL and PostgresSQL database | Experience with Apache server | REST API development with web applications "
Senior Full Stack Web Developer,23 hours ago,Mogul -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Project/Program Management · CSS · CSS3 · Computer Science · HTML · HTML5 · JavaScript · full stack,https://wuzzuf.net/jobs/p/hXqUP11E7efM-Senior-Full-Stack-Web-Developer-Mogul-Giza-Egypt?o=6&l=sp&t=sj&a=web developer|search-v3|hpb,"3+ years experience | Strong grasp of security principles and how they apply to E-Commerce applications. | Candidate must have a strong understanding of UI, cross-browser compatibility, general web functions and standards. | Deep expertise and hands on experience with Web Applications and programming languages such as HTML, CSS, JavaScript, JQuery and API’s. | Deep functional knowledge or hands on design experience with Web Services (REST, SOAP, etc ..) is needed to be successful in this position. "
Senior Python Web Developer,4 days ago,Docspert -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · Flask · Web Development · Information Technology (IT) · Computer Science · Software Development,https://wuzzuf.net/jobs/p/DNPrnC2g8agF-Senior-Python-Web-Developer-Docspert-Cairo-Egypt?o=7&l=sp&t=sj&a=web developer|search-v3|hpb,"Bachelor degree in Computer Science. | 5 years of experience or more in developing scalable and secure Python web applications using Flask and/or Django. | Experience in database design and maintaining relational database systems. | Experience in deploying web applications to the cloud, optimizing performance and monitoring security. | Experience in using and integrating Cloud services to serve scalable applications. | Strong understanding of front-end technologies. | Building unit and integration testing scripts. | Experience in developing web applications that are compliant with the latest security and regulatory guidelines. | Experience with leading and coaching small teams. | Basic understanding of DevOps and ML principles is needed, solid experience with any or both is a plus! | A good command of written and spoken English is a must. "
Full Stack Web Developer,11 days ago,Ejada (Cairo) -,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Software Development · Software Engineering · Full-Stack · Angular · Typescript,https://wuzzuf.net/jobs/p/HX3bdeA7OgyN-Full-Stack-Web-Developer-Ejada-Cairo-Cairo-Egypt?o=8&l=sp&t=sj&a=web developer|search-v3|hpb,Bachelor degree in Computer science – informatics - software engineering - web design and development is an asset | Knowledge and proven documented experience are the most important requirements. 
Web Developer,12 days ago,Perfect Touch Events -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Software Development · Web Design · PHP Web Development · Information Technology (IT) · Computer Science · Web Development · Design,https://wuzzuf.net/jobs/p/LMrynXJIvuOe-Web-Developer-Perfect-Touch-Events-Cairo-Egypt?o=9&l=sp&t=sj&a=web developer|search-v3|hpb,"Excellent knowledge of ( HTML 5, CSS3 ,JavaScript) | Has 3 years of experience at least as a web developer | Aware of ES6 specifications | PHP preferred  | Ready to start immediately | Fluent in English. | Attention to details | Has leadership skills  "
Senior Web Developer,15 days ago,Virtual Worker Now -,"Heliopolis, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML 5 · Java · CSS3 · CSS · PHP · HTML · Software Development · Information Technology (IT),https://wuzzuf.net/jobs/p/6RobKbRuEcQV-Senior-Web-Developer-Virtual-Worker-Now-Cairo-Egypt?o=10&l=sp&t=sj&a=web developer|search-v3|hpb,"Degree in computer science. | Strong organizational and project management skills. | Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript. | Proficiency with JavaScript frameworks such as Angular JS, React, and Amber. | Proficiency with server-side languages such as Python, Ruby, Java, PHP, and .Net. | Proficiency with database technology such as MySQL, Oracle, and MongoDB. | Attention to detail. | Applicant should have command and experience in:  Laravel PHP + Vuejs + MySql and Nodejs + Reactjs  "
Full Stack Web Developer,15 days ago,Jump -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Java · MySQL · MongoDB · Full Stack Development · Computer Science · CSS · HTML,https://wuzzuf.net/jobs/p/cpbEAYTuGW2J-Full-Stack-Web-Developer-Jump-Cairo-Egypt?o=11&l=sp&t=sj&a=web developer|search-v3|hpb,VB.Net | SQL Server | ASP.Net | Crystal Reports | MAX Age is 30 Years old | Males Only 
Junior Web Developer,8 days ago,El-Amir Group -,"Nozha, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Software Development · Crystal Reports · ASP.NET · VB.Net · Microsoft SQL Server · Information Technology (IT) · Computer Science · .NET,https://wuzzuf.net/jobs/p/yBZHnKcPvyth-Junior-Web-Developer-El-Amir-Group-Cairo-Egypt?o=12&l=sp&t=sj&a=web developer|search-v3|hpb,"5+ years of website development experience in a team environment | Computer Science degree, or significant equivalent experience | Experience developing user-friendly, responsive and appealing websites following modern development standards and workflows | Expertise in rendering page designs (Photoshop, Sketch, Figma or InVision) into responsive web pages (HTML5, Bootstrap 4, PHP, CSS3, and JavaScript) | Strong knowledge of build tools (npm, Gulp or Grunt), version control (Git), and Docker | Proven experience in Sass including mixins, variables, functions, and performance optimizations using tools such as Lighthouse and  WebPageTest | Strong working knowledge of CMS platforms including WordPress, Drupal and Laravel | Capable of using Linux tools and commands to develop on the LAMP stack | Understanding of semantic markup and experience with accessibility standards such as WCAG and ADA | Experience with cross-platform and cross-browser testing and working closely with quality control engineers | Familiarity with agile development methodologies | Experience working within Atlassian products such as Jira and Confluence | Working knowledge of Angular and/or React "
Senior Frontend Web Developer,16 days ago,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML5 · Laravel · CMS · Sketch · Figma · InVision · Linux · Computer Science,https://wuzzuf.net/jobs/p/ZNMT5h5IF8Pk-Senior-Frontend-Web-Developer-Trufla-Cairo-Egypt?o=13&l=sp&t=sj&a=web developer|search-v3|hpb,"Excellent knowledge of ( HTML 5, CSS3 ,Javascript ) | Aware of ES6 specifications | PHP is a plus | Ready to start immediately | Excellent English. | Attention to details | Experience in WordPress is a plus  "
Web Developer,15 days ago,Virtual Worker Now -,"Heliopolis, Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML 5 · Java · CSS3 · CSS · PHP · HTML · Software Development · Information Technology (IT),https://wuzzuf.net/jobs/p/scsROqD2pc7b-Web-Developer-Virtual-Worker-Now-Cairo-Egypt?o=14&l=sp&t=sj&a=web developer|search-v3|hpb,"Computer Science | Computing | Basic knowledge of Search Engine Optimization | Ability to multitask with strict time constraints, budgets and business goals | Strong communication skills | Management experience or examples that show ability to manage a team, should this role involve team management | Experience with server-side frameworks such as python, ruby, php, Java, ASP, ASP.NET | Experience with database systems such as SQL and Oracle "
Web Application Developer,16 days ago,Razaz Group -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · PHP Web Programming · Web Development · Web Marketing · SEO · Oracle · PHP · Java,https://wuzzuf.net/jobs/p/dqLo2ADjCu4l-Web-Application-Developer-Razaz-Group-Cairo-Egypt?o=15&l=sp&t=sj&a=web developer|search-v3|hpb,
